epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5933.01,0.95028,0.85451,1.27229,0.82158,0.80667,0.86936,0.65029,0.91336,0.84131,1.2824,0.0011882,0.0011882,0.0011882
43,6051.07,0.92277,0.82613,1.2458,0.82592,0.8,0.86303,0.62981,0.96241,0.85268,1.34252,0.0011684,0.0011684,0.0011684
44,6167.69,0.89089,0.82189,1.21001,0.8488,0.82667,0.87806,0.63684,0.95787,0.79629,1.32601,0.0011486,0.0011486,0.0011486
45,6282.87,0.9111,0.83254,1.24956,0.89211,0.78,0.88134,0.63969,0.9934,0.77719,1.36914,0.0011288,0.0011288,0.0011288
46,6401.29,0.93038,0.84163,1.2718,0.85326,0.77533,0.876,0.62752,0.9551,0.80327,1.30912,0.001109,0.001109,0.001109
47,6517.09,0.92948,0.8031,1.23487,0.81689,0.86249,0.8973,0.65029,0.97405,0.75756,1.34631,0.0010892,0.0010892,0.0010892
48,6633.48,0.87779,0.78293,1.21904,0.84634,0.80785,0.88247,0.6571,0.96008,0.76449,1.3305,0.0010694,0.0010694,0.0010694
49,6751.19,0.88293,0.76441,1.23102,0.87267,0.76667,0.8674,0.65043,0.91017,0.77892,1.30773,0.0010496,0.0010496,0.0010496
50,6929.92,0.86923,0.76345,1.21335,0.8069,0.83577,0.87596,0.64996,0.92342,0.77557,1.33487,0.0010298,0.0010298,0.0010298
51,7083.68,0.8828,0.77494,1.22262,0.9072,0.82,0.89755,0.67412,0.91948,0.72503,1.28953,0.00101,0.00101,0.00101
52,7212.53,0.87698,0.78682,1.22018,0.85251,0.86667,0.8952,0.65601,0.93866,0.74258,1.31646,0.0009902,0.0009902,0.0009902
53,7335.25,0.8718,0.7415,1.21518,0.87385,0.87741,0.88383,0.64362,0.92208,0.72545,1.30083,0.0009704,0.0009704,0.0009704
54,7456.52,0.8861,0.77628,1.24451,0.88685,0.84667,0.90452,0.67002,0.88694,0.6831,1.27312,0.0009506,0.0009506,0.0009506
55,7577.64,0.84856,0.75598,1.21071,0.92147,0.78223,0.90408,0.67948,0.88311,0.7447,1.24864,0.0009308,0.0009308,0.0009308
